post_id,user_id,text,label
p0203,u303,"That was an amazing performance, bravo!",non-bullying
p0204,u304,Nobody wants to be around you.,bullying
p0205,u305,"Keep going, you’re doing amazing!",non-bullying
p0206,u306,"Nobody respects you, just stop.",bullying
p0207,u307,Thanks for helping me yesterday!,non-bullying
p0208,u308,Why are you always so dumb?,bullying
p0209,u309,Your positivity inspires everyone around you.,non-bullying
p0210,u310,"You’re such a loser, nobody likes you.",bullying
p0211,u311,"Keep going, you’re doing amazing!",non-bullying
p0212,u312,Nobody wants to be around you.,bullying
p0213,u313,You are really talented and hardworking.,non-bullying
p0214,u314,Why are you always so dumb?,bullying
p0215,u315,"Nice work team, proud of you!",non-bullying
p0216,u316,"Nobody respects you, just stop.",bullying
p0217,u317,"Nice work team, proud of you!",non-bullying
p0218,u318,You're ugly and worthless.,bullying
p0219,u319,"Keep going, you’re doing amazing!",non-bullying
p0220,u320,"You’re a joke, nobody cares about you.",bullying
p0221,u321,"Great job on your project, well done!",non-bullying
p0222,u322,"Nobody respects you, just stop.",bullying
p0223,u323,"Great job on your project, well done!",non-bullying
p0224,u324,"Nobody respects you, just stop.",bullying
p0225,u325,You are really talented and hardworking.,non-bullying
p0226,u326,"You're annoying, everyone hates you.",bullying
p0227,u327,"That was an amazing performance, bravo!",non-bullying
p0228,u328,Nobody wants to be around you.,bullying
p0229,u329,"Keep going, you’re doing amazing!",non-bullying
p0230,u330,"You're annoying, everyone hates you.",bullying
p0231,u331,"That was an amazing performance, bravo!",non-bullying
p0232,u332,"Pathetic, you should just quit.",bullying
p0233,u333,"That was an amazing performance, bravo!",non-bullying
p0234,u334,You're nothing but a failure.,bullying
p0235,u335,Wishing you all the best in your exams.,non-bullying
p0236,u336,You're nothing but a failure.,bullying
p0237,u337,Thanks for helping me yesterday!,non-bullying
p0238,u338,Why are you always so dumb?,bullying
p0239,u339,"Nice work team, proud of you!",non-bullying
p0240,u340,"Nobody respects you, just stop.",bullying
p0241,u341,"That was an amazing performance, bravo!",non-bullying
p0242,u342,Why are you always so dumb?,bullying
p0243,u343,Wishing you all the best in your exams.,non-bullying
p0244,u344,"Pathetic, you should just quit.",bullying
p0245,u345,"That was an amazing performance, bravo!",non-bullying
p0246,u346,"Just disappear, nobody will miss you.",bullying
p0247,u347,"Keep going, you’re doing amazing!",non-bullying
p0248,u348,"Pathetic, you should just quit.",bullying
p0249,u349,Congrats on your success! Keep shining.,non-bullying
p0250,u350,Nobody wants to be around you.,bullying
p0251,u351,Your positivity inspires everyone around you.,non-bullying
p0252,u352,"You’re a joke, nobody cares about you.",bullying
p0253,u353,Thanks for helping me yesterday!,non-bullying
p0254,u354,"You’re such a loser, nobody likes you.",bullying
p0255,u355,Wishing you all the best in your exams.,non-bullying
p0256,u356,"Just disappear, nobody will miss you.",bullying
p0257,u357,"Great job on your project, well done!",non-bullying
p0258,u358,Nobody wants to be around you.,bullying
p0259,u359,"Great job on your project, well done!",non-bullying
p0260,u360,"You're annoying, everyone hates you.",bullying
p0261,u361,"Nice work team, proud of you!",non-bullying
p0262,u362,You're nothing but a failure.,bullying
p0263,u363,You are really talented and hardworking.,non-bullying
p0264,u364,You're ugly and worthless.,bullying
p0265,u365,"Great job on your project, well done!",non-bullying
p0266,u366,"Just disappear, nobody will miss you.",bullying
p0267,u367,Wishing you all the best in your exams.,non-bullying
p0268,u368,"Pathetic, you should just quit.",bullying
p0269,u369,Your positivity inspires everyone around you.,non-bullying
p0270,u370,"Just disappear, nobody will miss you.",bullying
p0271,u371,You are really talented and hardworking.,non-bullying
p0272,u372,You're nothing but a failure.,bullying
p0273,u373,You are really talented and hardworking.,non-bullying
p0274,u374,Why are you always so dumb?,bullying
p0275,u375,"Happy birthday, hope you have a wonderful day!",non-bullying
p0276,u376,"You’re such a loser, nobody likes you.",bullying
p0277,u377,"That was an amazing performance, bravo!",non-bullying
p0278,u378,"Nobody respects you, just stop.",bullying
p0279,u379,"Happy birthday, hope you have a wonderful day!",non-bullying
p0280,u380,Why are you always so dumb?,bullying
p0281,u381,"Nice work team, proud of you!",non-bullying
p0282,u382,Why are you always so dumb?,bullying
p0283,u383,"Happy birthday, hope you have a wonderful day!",non-bullying
p0284,u384,You're ugly and worthless.,bullying
p0285,u385,Wishing you all the best in your exams.,non-bullying
p0286,u386,You're ugly and worthless.,bullying
p0287,u387,"Keep going, you’re doing amazing!",non-bullying
p0288,u388,You're nothing but a failure.,bullying
p0289,u389,"Great job on your project, well done!",non-bullying
p0290,u390,"Just disappear, nobody will miss you.",bullying
p0291,u391,"Happy birthday, hope you have a wonderful day!",non-bullying
p0292,u392,"You’re a joke, nobody cares about you.",bullying
p0293,u393,"Happy birthday, hope you have a wonderful day!",non-bullying
p0294,u394,"Nobody respects you, just stop.",bullying
p0295,u395,Wishing you all the best in your exams.,non-bullying
p0296,u396,Why are you always so dumb?,bullying
p0297,u397,"That was an amazing performance, bravo!",non-bullying
p0298,u398,Nobody wants to be around you.,bullying
p0299,u399,You are really talented and hardworking.,non-bullying
p0300,u400,"Just disappear, nobody will miss you.",bullying
p0301,u401,"Nice work team, proud of you!",non-bullying
p0302,u402,"Nobody respects you, just stop.",bullying
p0303,u403,"Happy birthday, hope you have a wonderful day!",non-bullying
p0304,u404,"You’re such a loser, nobody likes you.",bullying
p0305,u405,You are really talented and hardworking.,non-bullying
p0306,u406,Nobody wants to be around you.,bullying
p0307,u407,Congrats on your success! Keep shining.,non-bullying
p0308,u408,You're ugly and worthless.,bullying
p0309,u409,Thanks for helping me yesterday!,non-bullying
p0310,u410,"Nobody respects you, just stop.",bullying
p0311,u411,Thanks for helping me yesterday!,non-bullying
p0312,u412,You're ugly and worthless.,bullying
p0313,u413,"That was an amazing performance, bravo!",non-bullying
p0314,u414,You're nothing but a failure.,bullying
p0315,u415,"That was an amazing performance, bravo!",non-bullying
p0316,u416,You're ugly and worthless.,bullying
p0317,u417,Congrats on your success! Keep shining.,non-bullying
p0318,u418,Why are you always so dumb?,bullying
p0319,u419,You are really talented and hardworking.,non-bullying
p0320,u420,Nobody wants to be around you.,bullying
p0321,u421,"Keep going, you’re doing amazing!",non-bullying
p0322,u422,"You're annoying, everyone hates you.",bullying
p0323,u423,"Great job on your project, well done!",non-bullying
p0324,u424,"Pathetic, you should just quit.",bullying
p0325,u425,Your positivity inspires everyone around you.,non-bullying
p0326,u426,"Nobody respects you, just stop.",bullying
p0327,u427,"Great job on your project, well done!",non-bullying
p0328,u428,Why are you always so dumb?,bullying
p0329,u429,"That was an amazing performance, bravo!",non-bullying
p0330,u430,Why are you always so dumb?,bullying
p0331,u431,Thanks for helping me yesterday!,non-bullying
p0332,u432,"You’re such a loser, nobody likes you.",bullying
p0333,u433,"Happy birthday, hope you have a wonderful day!",non-bullying
p0334,u434,"Just disappear, nobody will miss you.",bullying
p0335,u435,Wishing you all the best in your exams.,non-bullying
p0336,u436,Why are you always so dumb?,bullying
p0337,u437,"Nice work team, proud of you!",non-bullying
p0338,u438,"You’re such a loser, nobody likes you.",bullying
p0339,u439,"Keep going, you’re doing amazing!",non-bullying
p0340,u440,You're ugly and worthless.,bullying
p0341,u441,"Keep going, you’re doing amazing!",non-bullying
p0342,u442,Nobody wants to be around you.,bullying
p0343,u443,Congrats on your success! Keep shining.,non-bullying
p0344,u444,"Nobody respects you, just stop.",bullying
p0345,u445,"That was an amazing performance, bravo!",non-bullying
p0346,u446,You're nothing but a failure.,bullying
p0347,u447,"Keep going, you’re doing amazing!",non-bullying
p0348,u448,"You’re a joke, nobody cares about you.",bullying
p0349,u449,Thanks for helping me yesterday!,non-bullying
p0350,u450,"Pathetic, you should just quit.",bullying
p0351,u451,"Great job on your project, well done!",non-bullying
p0352,u452,"Nobody respects you, just stop.",bullying
p0353,u453,"Happy birthday, hope you have a wonderful day!",non-bullying
p0354,u454,"You’re a joke, nobody cares about you.",bullying
p0355,u455,"Happy birthday, hope you have a wonderful day!",non-bullying
p0356,u456,"Just disappear, nobody will miss you.",bullying
p0357,u457,Congrats on your success! Keep shining.,non-bullying
p0358,u458,"You're annoying, everyone hates you.",bullying
p0359,u459,"Great job on your project, well done!",non-bullying
p0360,u460,"Just disappear, nobody will miss you.",bullying
p0361,u461,"Nice work team, proud of you!",non-bullying
p0362,u462,Nobody wants to be around you.,bullying
p0363,u463,"That was an amazing performance, bravo!",non-bullying
p0364,u464,"Pathetic, you should just quit.",bullying
p0365,u465,"Keep going, you’re doing amazing!",non-bullying
p0366,u466,"Nobody respects you, just stop.",bullying
p0367,u467,Your positivity inspires everyone around you.,non-bullying
p0368,u468,You're ugly and worthless.,bullying
p0369,u469,Congrats on your success! Keep shining.,non-bullying
p0370,u470,"Nobody respects you, just stop.",bullying
p0371,u471,Your positivity inspires everyone around you.,non-bullying
p0372,u472,"You’re such a loser, nobody likes you.",bullying
p0373,u473,"Nice work team, proud of you!",non-bullying
p0374,u474,You're nothing but a failure.,bullying
p0375,u475,You are really talented and hardworking.,non-bullying
p0376,u476,"Nobody respects you, just stop.",bullying
p0377,u477,Thanks for helping me yesterday!,non-bullying
p0378,u478,You're ugly and worthless.,bullying
p0379,u479,"That was an amazing performance, bravo!",non-bullying
p0380,u480,"You’re such a loser, nobody likes you.",bullying
p0381,u481,Your positivity inspires everyone around you.,non-bullying
p0382,u482,"You're annoying, everyone hates you.",bullying
p0383,u483,Congrats on your success! Keep shining.,non-bullying
p0384,u484,"Just disappear, nobody will miss you.",bullying
p0385,u485,"Happy birthday, hope you have a wonderful day!",non-bullying
p0386,u486,You're nothing but a failure.,bullying
p0387,u487,"Nice work team, proud of you!",non-bullying
p0388,u488,Nobody wants to be around you.,bullying
p0389,u489,Congrats on your success! Keep shining.,non-bullying
p0390,u490,"You're annoying, everyone hates you.",bullying
p0391,u491,"Happy birthday, hope you have a wonderful day!",non-bullying
p0392,u492,"Nobody respects you, just stop.",bullying
p0393,u493,Congrats on your success! Keep shining.,non-bullying
p0394,u494,You're ugly and worthless.,bullying
p0395,u495,"Happy birthday, hope you have a wonderful day!",non-bullying
p0396,u496,Why are you always so dumb?,bullying
p0397,u497,"That was an amazing performance, bravo!",non-bullying
p0398,u498,"You’re such a loser, nobody likes you.",bullying
p0399,u499,"Nice work team, proud of you!",non-bullying
p0400,u500,"You’re a joke, nobody cares about you.",bullying
p0401,u501,"Great job on your project, well done!",non-bullying
p0402,u502,Nobody wants to be around you.,bullying
p0403,u503,"That was an amazing performance, bravo!",non-bullying
p0404,u504,"Just disappear, nobody will miss you.",bullying
p0405,u505,"Happy birthday, hope you have a wonderful day!",non-bullying
p0406,u506,"You’re a joke, nobody cares about you.",bullying
p0407,u507,"That was an amazing performance, bravo!",non-bullying
p0408,u508,Why are you always so dumb?,bullying
p0409,u509,Wishing you all the best in your exams.,non-bullying
p0410,u510,Why are you always so dumb?,bullying
p0411,u511,"Keep going, you’re doing amazing!",non-bullying
p0412,u512,"Pathetic, you should just quit.",bullying
p0413,u513,"Happy birthday, hope you have a wonderful day!",non-bullying
p0414,u514,"Just disappear, nobody will miss you.",bullying
p0415,u515,"Keep going, you’re doing amazing!",non-bullying
p0416,u516,"You’re a joke, nobody cares about you.",bullying
p0417,u517,"Happy birthday, hope you have a wonderful day!",non-bullying
p0418,u518,"Nobody respects you, just stop.",bullying
p0419,u519,"Great job on your project, well done!",non-bullying
p0420,u520,"You’re such a loser, nobody likes you.",bullying
p0421,u521,Congrats on your success! Keep shining.,non-bullying
p0422,u522,You're nothing but a failure.,bullying
p0423,u523,"Keep going, you’re doing amazing!",non-bullying
p0424,u524,"Just disappear, nobody will miss you.",bullying
p0425,u525,"Nice work team, proud of you!",non-bullying
p0426,u526,"Pathetic, you should just quit.",bullying
p0427,u527,Thanks for helping me yesterday!,non-bullying
p0428,u528,"Pathetic, you should just quit.",bullying
p0429,u529,"Nice work team, proud of you!",non-bullying
p0430,u530,Why are you always so dumb?,bullying
p0431,u531,Congrats on your success! Keep shining.,non-bullying
p0432,u532,"You're annoying, everyone hates you.",bullying
p0433,u533,Thanks for helping me yesterday!,non-bullying
p0434,u534,"Pathetic, you should just quit.",bullying
p0435,u535,"Great job on your project, well done!",non-bullying
p0436,u536,"Nobody respects you, just stop.",bullying
p0437,u537,Your positivity inspires everyone around you.,non-bullying
p0438,u538,"Pathetic, you should just quit.",bullying
p0439,u539,Thanks for helping me yesterday!,non-bullying
p0440,u540,"Pathetic, you should just quit.",bullying
p0441,u541,"Happy birthday, hope you have a wonderful day!",non-bullying
p0442,u542,Why are you always so dumb?,bullying
p0443,u543,"Nice work team, proud of you!",non-bullying
p0444,u544,"Nobody respects you, just stop.",bullying
p0445,u545,Congrats on your success! Keep shining.,non-bullying
p0446,u546,"Just disappear, nobody will miss you.",bullying
p0447,u547,"Nice work team, proud of you!",non-bullying
p0448,u548,"Pathetic, you should just quit.",bullying
p0449,u549,"Great job on your project, well done!",non-bullying
p0450,u550,You're nothing but a failure.,bullying
p0451,u551,"That was an amazing performance, bravo!",non-bullying
p0452,u552,"You’re a joke, nobody cares about you.",bullying
p0453,u553,"Keep going, you’re doing amazing!",non-bullying
p0454,u554,"Pathetic, you should just quit.",bullying
p0455,u555,Congrats on your success! Keep shining.,non-bullying
p0456,u556,"Just disappear, nobody will miss you.",bullying
p0457,u557,You are really talented and hardworking.,non-bullying
p0458,u558,"Nobody respects you, just stop.",bullying
p0459,u559,Wishing you all the best in your exams.,non-bullying
p0460,u560,Why are you always so dumb?,bullying
p0461,u561,"That was an amazing performance, bravo!",non-bullying
p0462,u562,Why are you always so dumb?,bullying
p0463,u563,"Keep going, you’re doing amazing!",non-bullying
p0464,u564,"You’re such a loser, nobody likes you.",bullying
p0465,u565,Thanks for helping me yesterday!,non-bullying
p0466,u566,"You’re such a loser, nobody likes you.",bullying
p0467,u567,"Happy birthday, hope you have a wonderful day!",non-bullying
p0468,u568,"Nobody respects you, just stop.",bullying
p0469,u569,"That was an amazing performance, bravo!",non-bullying
p0470,u570,"Pathetic, you should just quit.",bullying
p0471,u571,"That was an amazing performance, bravo!",non-bullying
p0472,u572,You're nothing but a failure.,bullying
p0473,u573,"That was an amazing performance, bravo!",non-bullying
p0474,u574,You're nothing but a failure.,bullying
p0475,u575,"Nice work team, proud of you!",non-bullying
p0476,u576,"You're annoying, everyone hates you.",bullying
p0477,u577,Wishing you all the best in your exams.,non-bullying
p0478,u578,Nobody wants to be around you.,bullying
p0479,u579,"Great job on your project, well done!",non-bullying
p0480,u580,You're nothing but a failure.,bullying
p0481,u581,"Happy birthday, hope you have a wonderful day!",non-bullying
p0482,u582,"Just disappear, nobody will miss you.",bullying
p0483,u583,"Happy birthday, hope you have a wonderful day!",non-bullying
p0484,u584,"Nobody respects you, just stop.",bullying
p0485,u585,Wishing you all the best in your exams.,non-bullying
p0486,u586,"You’re a joke, nobody cares about you.",bullying
p0487,u587,Wishing you all the best in your exams.,non-bullying
p0488,u588,"Pathetic, you should just quit.",bullying
p0489,u589,Thanks for helping me yesterday!,non-bullying
p0490,u590,You're ugly and worthless.,bullying
p0491,u591,"Happy birthday, hope you have a wonderful day!",non-bullying
p0492,u592,You're nothing but a failure.,bullying
p0493,u593,You are really talented and hardworking.,non-bullying
p0494,u594,"Nobody respects you, just stop.",bullying
p0495,u595,Congrats on your success! Keep shining.,non-bullying
p0496,u596,"Just disappear, nobody will miss you.",bullying
p0497,u597,Thanks for helping me yesterday!,non-bullying
p0498,u598,Why are you always so dumb?,bullying
p0499,u599,"Happy birthday, hope you have a wonderful day!",non-bullying
p0500,u600,"You're annoying, everyone hates you.",bullying
p0501,u601,Congrats on your success! Keep shining.,non-bullying
p0502,u602,"Just disappear, nobody will miss you.",bullying
p0503,u603,You are really talented and hardworking.,non-bullying
p0504,u604,"You’re a joke, nobody cares about you.",bullying
p0505,u605,"Great job on your project, well done!",non-bullying
p0506,u606,"You’re such a loser, nobody likes you.",bullying
p0507,u607,Your positivity inspires everyone around you.,non-bullying
p0508,u608,Why are you always so dumb?,bullying
p0509,u609,"Nice work team, proud of you!",non-bullying
p0510,u610,You're nothing but a failure.,bullying
p0511,u611,"That was an amazing performance, bravo!",non-bullying
p0512,u612,"Pathetic, you should just quit.",bullying
p0513,u613,"Nice work team, proud of you!",non-bullying
p0514,u614,"You’re such a loser, nobody likes you.",bullying
p0515,u615,"That was an amazing performance, bravo!",non-bullying
p0516,u616,"Pathetic, you should just quit.",bullying
p0517,u617,Congrats on your success! Keep shining.,non-bullying
p0518,u618,"You’re such a loser, nobody likes you.",bullying
p0519,u619,"Keep going, you’re doing amazing!",non-bullying
p0520,u620,You're nothing but a failure.,bullying
p0521,u621,"Great job on your project, well done!",non-bullying
p0522,u622,"Nobody respects you, just stop.",bullying
p0523,u623,"Happy birthday, hope you have a wonderful day!",non-bullying
p0524,u624,You're ugly and worthless.,bullying
p0525,u625,"Great job on your project, well done!",non-bullying
p0526,u626,"You’re such a loser, nobody likes you.",bullying
p0527,u627,Congrats on your success! Keep shining.,non-bullying
p0528,u628,Nobody wants to be around you.,bullying
p0529,u629,"Nice work team, proud of you!",non-bullying
p0530,u630,"Nobody respects you, just stop.",bullying
p0531,u631,Thanks for helping me yesterday!,non-bullying
